title,vintage,winery,style,variety,denominacion,price,designation,aging_1,region,description,points
Lagar de Indra 2018 Albariño (Rías Baixas),2018,Lagar de Indra,White wine,Albariño,Rías Baixas,17.0,,No Aplica,Rías Baixas,"The clean nose is fairly neutral except for hints of apple and stone fruits, while a round and healthy palate shows moderately bright acidity, along with flavors of melon and lime. Concluding the package is a comfortable finish with hints of apple, citrus and stone fruits. ",88
Llopart 2013 Imperial Gran Reserva Panoramic Sparkling (Cava),2013,Llopart,Sparkling,Sparkling Blend,Cava,35.0,Imperial Gran Reserva Panoramic,Gran Reserva,Cava,"Briny, bready aromas are yeasty but less than complex or stirring. On the palate, this vintage Cava is highly regular, with little depth and soda-pop acidity. Pear, green-melon and green-herb flavors don't elicit much excitement on the finish. ",88
Finca la Melonera 2014 La Encina del Inglés Red (Málaga),2014,Finca la Melonera,Red wine,Red Blends,Málaga,22.0,La Encina del Inglés,No Aplica,Málaga,"Aromas of animal hide and latex are savory more than fruity. This feels overdone and soupy on the palate, with sticky tannins. Candied, baked flavors of plum, blackberry and black currant are spicy in flavor but syrupy in feel on the finish. ",88
Otazu 2013 Premium Cuvée Red (Navarra),2013,Otazu,Red wine,Red Blends,Navarra,14.0,Premium Cuvée,No Aplica,Navarra,"A charred, fiery nose holds aromas of burnt wood and roasted blackberry and plum. A dense, compact palate is piercing and heavy, tasting of roasted black fruits and black olive. A smoked, resiny palate smolders with residual oak. ",88
Parxet 2017 Cuvée 21 Brut Made With Organic Grapes Sparkling (Cava),2017,Parxet,Sparkling,Sparkling Blend,Cava,15.0,Cuvée 21 Brut Made With Organic Grapes,No Aplica,Cava,Nectarine and green-plum aromas lead to a lively palate. This brut delivers pleasant and proper nectarine and papaya flavors in front of a steady finish that maintains its white-fruit character. ,88
Palacio del Burgo 2014 Reserva  (Rioja),2014,Palacio del Burgo,Red wine,Tempranillo Blend,Rioja,20.0,Reserva,Reserva,Rioja,"Ripe berry aromas border on raisiny, while overall this reserva smells baked and soft. A chunky palate is bolstered by grabby tannins, while blackberry and black plum flavors hint at mocha and clove on a spicy but drawing finish. ",88
Marqués de Vargas 2016 Crianza  (Rioja),2016,Marqués de Vargas,Red wine,Tempranillo Blend,Rioja,16.0,Crianza,Crianza,Rioja,"A dark color and warm aromas of plum, raisin and prune announce a fuller-bodied wine. In the mouth, this feels sappy and extracted, while black cherry and prune flavors are darker and fatter than what you find in most crianzas. On the finish, dark-fruit notes quickly give way to prune. ",88
Condes de Albarei 2016 Albariño (Rías Baixas),2016,Condes de Albarei,White wine,Albariño,Rías Baixas,14.0,,No Aplica,Rías Baixas,"This wine's classic Albariño aromas of white flowers and stone fruit are simple and nice. It feels round and true but a touch flat. Thompson grape, melon and ripe apple flavors hold steady on the finish. Drink now. ",88
Castell d'Encus 2015 Ekam White (Costers del Segre),2015,Castell d'Encus,White wine,White Blend,Costers del Segre,34.0,Ekam,No Aplica,Costers del Segre,"A blast of petrol opens this blend of Riesling and Albariño from the Pyrenees. After the harshness blows off, this displays a citric personality and stony minerality. Ripe white-fruit flavors are offset by a yeasty finish. Drink now. ",88
Príncipe de Viana 2018 Edición Blanca White (Navarra),2018,Príncipe de Viana,White wine,White Blend,Navarra,25.0,Edición Blanca,No Aplica,Navarra,"Melony white-fruit aromas are fairly generic but clean, while this blend of Chardonnay and Sauvignon Blanc is full to the point of being creamy. Woody aromas of oak grain and spiced apple finish smooth, simple and steady. ",88
Roger Goulart 2011 Gran Reserva Sparkling (Cava),2011,Roger Goulart,Sparkling,Sparkling Blend,Cava,20.0,Gran Reserva,Gran Reserva,Cava,"Yeasty apple and vanilla aromas set up a pleasant palate that's more foamy and amorphous than well defined. Mild lime, nectarine and yeasty flavors finish with competence. This is a perfectly good Cava that doesn't stand out. ",88
Mas d'en Gil 2014 Coma Alta Garnacha Blanca (Priorat),2014,Mas d'en Gil,White wine,Garnacha Blanca,Priorat,30.0,Coma Alta,No Aplica,Priorat,"Years into its existence and this varietal Garnacha Blanca still smells like raw oak and turpentine, although those aromas are more ingrained than superficial. A well-balanced mature palate with lively acidity is helpful, while this tastes of fino Sherry and dried white fruits. A long finish with salt and pepper notes references oak as its final chord. ",88
Obalo 2016 Crianza  (Rioja),2016,Obalo,Red wine,Tempranillo,Rioja,20.0,Crianza,Crianza,Rioja,"Berry aromas are ripe and restrained as this flush Crianza opens. Fleshy weight and full tannins lend size to wild-blackberry and black-olive flavors. On the finish, this is rambling, rough and gravelly. ",88
Altavins 2015 Tempus Crianza Red (Terra Alta),2015,Altavins,Red wine,Rhône-style Red Blend,Terra Alta,23.0,Tempus Crianza,Crianza,Terra Alta,"Earthy berry aromas are more subdued than bright. In the mouth, this feels a bit collapsed, syrupy and hot. Hefty cherry and black plum flavors are a touch oxidized and short on kick. This feels jammy and thick while tasting of spiced berry fruits on a finish that's sleepy as it expires. Drink now. ",88
Abendus 2016 Red (Somontano),2016,Abendus,Red wine,Red Blends,Somontano,14.0,,No Aplica,Somontano,"Cherry, plum and raspberry aromas are fiery and show a hint of latex. In the mouth, this blend of Garnacha and an indigenous grape called Moristel feels tight and choppy but fresh. Medicinal berry and plum flavors show a touch of oak, while this ends with dry tannins and peppery spice notes. ",88
Forjas del Salnés 2017 Leirana Albariño (Rías Baixas),2017,Forjas del Salnés,White wine,Albariño,Rías Baixas,32.0,Leirana,No Aplica,Rías Baixas,This wine's apple and melon aromas come with notes of wet wool and lanolin. The palate is bolstered by citrusy acidity that tastes solely of orange and orange peel. The finish is tangy and salty. ,88
Marqués de la Concordia 2012 Reserva de la Familia Sparkling (Cava),2012,Marqués de la Concordia,Sparkling,Sparkling Blend,Cava,15.0,Reserva de la Familia,Reserva,Cava,This fits properly into the brut nature category courtesy of neutral aromas and a direct tightly built palate. Mild citrus and melon flavors lose some clarity on a finish that hints at mealy apple and butter. ,88
Contino 2015 White (Rioja),2015,Contino,White wine,White Blend,Rioja,52.0,,No Aplica,Rioja,"Aromas of oak, buttered bread and apple are subdued. In the mouth, this feels ripe more than ripped, with mild acidity and not a lot of spine or structure. Flavors of oak, spice and apple fall quietly away on a simple finish. ",88
Luis Saenz 2012 Reserva  (Rioja),2012,Luis Saenz,Red wine,Tempranillo,Rioja,15.0,Reserva,Reserva,Rioja,"Aromas of generic berry fruits, vanilla, wood grain and raisin lead to a flush palate that's slightly abrasive and tannic. Woody, spicy plum and berry flavors finish with dry tannins and smoldering oak. ",88
Hacienda Urbión 2016 Cuvée  (Rioja),2016,Hacienda Urbión,Red wine,Tempranillo Blend,Rioja,15.0,Cuvée,No Aplica,Rioja,"Cool earth and prune aromas make for a jammy nose. On the palate, this is fleshy and grapy but direct. Jammy berry and plum flavors maintain a grapy quality on the finish, while overall this is nice in an uncomplicated way. ",88
Torres 2014 Celeste Crianza  (Ribera del Duero),2014,Torres,White wine,Tinto Fino,Ribera del Duero,21.0,Celeste Crianza,Crianza,Ribera del Duero,"This wine's blackberry, grilled meat and olive aromas are a bit rustic. It's honest on the palate, with stewed fruit, spiced plum and herbal flavors that finish with bold acidity. A no-frills but good Ribera del Duero. ",88
Montebaco 2017 Alma de Vino Mar y Montaña White (Ribeiro),2017,Montebaco,White wine,White Blend,Ribeiro,25.0,Alma de Vino Mar y Montaña,No Aplica,Ribeiro,Simple aromas of apple and generic white fruits lead to a chunky palate with just enough vitality and acidity. Fleshy apple and peach flavors are modest in front of a short finish that lacks punch. Drink now. ,88
Vins El Cep 2015 Gelida Brut Gran Reserva Sparkling (Cava),2015,Vins El Cep,Sparkling,Sparkling Blend,Cava,20.0,Gelida Brut Gran Reserva,Gran Reserva,Cava,"Apple and pear aromas are basic, while a simple palate is clean and mellow, with no edge or cut to it. Apple and green-banana flavors are smooth through a standard finish. Overall, this vintage Cava is perfectly good but fails to plow any new ground. ",88
Casa de la Ermita 2013 Crianza Red (Jumilla),2013,Casa de la Ermita,Red wine,Red Blends,Jumilla,15.0,Crianza,Crianza,Jumilla,"Floral berry and plum aromas are lightly woody. This feels full and edgy, with fairly hard tannins. Black-fruit flavors are certainly ripe, while this finishes bold and intense, with scratchy tannins. The blend is Monastrell, Tempranillo and Cab Sauvignon. ",88
Sierra Cantabria 2015 Otoman White (Rioja),2015,Sierra Cantabria,White wine,White Blend,Rioja,19.0,Otoman,No Aplica,Rioja,"Dry waxy white-fruit aromas are mild but clean. This blend of Viura and other white grapes feels plump but a touch soft, with only modest acidity. Dry bready flavors of melon and papaya finish a touch flat. Drink now. ",88
Bodegas Bilbainas 2012 Viña Pomal Alto de la Caseta  (Rioja),2012,Bodegas Bilbainas,Red wine,Tempranillo,Rioja,150.0,Viña Pomal Alto de la Caseta,No Aplica,Rioja,An opaque black color and charred aromas of mint and menthol are telling: this is a highly saturated and heavily oaked Rioja from a warm vintage. Along with that profile comes clenching tannins and dark flavors of burnt toast and black fruits. This isn't about nuance or elegance; it's a blockbuster. ,88
Torres 2011 Grans Muralles Red (Conca de Barberà),2011,Torres,Red wine,Red Blends,Conca de Barberá,140.0,Grans Muralles,No Aplica,Conca de Barberà,"A heavy nose is defined by rubbery black-fruit aromas, while this holdover from a hot dry year feels sappy and soft, and ultimately overweight. Baked black-fruit flavors include a note of savory dried beef, while this is decidedly thick and jammy on the finish. The blend includes Garnacha, Carignan, Monastrell and the ancient grapes Garró and Querol—very good in some ways but overall not a great Grans Muralles, one of Familia Torres' signature wines. ",88
Lasalde Elkartea 2016 Aitzalde White (Getariako Txakolina),2016,Lasalde Elkartea,White wine,White Blend,Getariako Txakolina,18.0,Aitzalde,No Aplica,Getariako Txakolina,"Punchy aromas of citrus and cactus are not outright green but do show pyranize scents. A palate with honest body, grip and lemony acidity tastes of tangy lemon-lime and tangerine, while this is angular but not scouring on the finish. ",88
Campillo 2018 El Sueño White (Rioja),2018,Campillo,White wine,White Blend,Rioja,17.0,El Sueño,No Aplica,Rioja,"The nose on this blend of Viura and Chardonnay is overtly oaky, while the mouthfeel is punched up by lemony acidity. A dominant wood spice flavor rests on top of mute citrus, while on the finish this is bright and juicy, with a lasting oak-based flavor. ",88
Bodegas Muriel 2018 Pazo Cilleiro Albariño (Rías Baixas),2018,Bodegas Muriel,White wine,Albariño,Rías Baixas,20.0,Pazo Cilleiro,No Aplica,Rías Baixas,"Aromas of citrus fruits, green melons, white flowers and sea brine are typical of Albariño. On the palate, this is full and on the creamy side, with adequate citric acidity. A slightly salty flavor profile includes nectarine and melon notes, while this tastes of pineapple and salted peach on a round finish. ",88
Cuatro Pasos 2015 Pizarras de Otero Mencía (Bierzo),2015,Cuatro Pasos,Red wine,Mencía,Bierzo,13.0,Pizarras de Otero,No Aplica,Bierzo,"This fresh Mencía's bright red fruit aromas exude rocky mineral tones. Raw, popping red plum and cherry flavors finish herbal and tomato-like, with a bit of tannic bite. Drink now or any time through 2021. ",88
Obalo 2018 Rosado (Rioja),2018,Obalo,Rosée,Rosado,Rioja,15.0,,No Aplica,Rioja,"Clean neutral aromas hint at peach pit and wet stones. This Rioja rosado is in good shape and built around tangy citric acidity. Orange and lemon flavors are fresh, and overall this defines what a quaffable, affordable Spanish rosé should be. ",88
Rioja Vega 2014 Reserva Estate Bottled  (Rioja),2014,Rioja Vega,Red wine,Tempranillo Blend,Rioja,35.0,Reserva Estate Bottled,Reserva,Rioja,"Racy currant, cranberry and lemon-peel aromas are low on depth and darkness, while this feels zesty on the palate, with acidity fueling things. Spicy, oaky red-plum flavors stay fresh on a crisp, acidic finish that's rough and rugged. ",88
Naveran 2014 Perles Blanques Cuvée Antonia Sparkling (Cava),2014,Naveran,Sparkling,Sparkling Blend,Cava,36.0,Perles Blanques Cuvée Antonia,No Aplica,Cava,"Toasty smoky aromas of well-oaked base wine stick out on this vintage Cava. A round, solid palate is balanced and shows proper grip, while this tastes pickled and slightly bitter as opposed to fresh and pure. Briny flavors linger on a smooth finish. ",88
Altavins 2017 Ilercavònia Garnacha Blanca (Terra Alta),2017,Altavins,White wine,Garnacha Blanca,Terra Alta,20.0,Ilercavònia,No Aplica,Terra Alta,"Pear, apple and peach aromas are light all around. A healthy but basic palate has modest acidic energy, while apple and stone fruit flavors include a hint of green. A lightly briny finish suggests a fresh salad with a mild vinaigrette dressing. ",88
Agustí Torelló Mata 2015 Reserva Brut Sparkling (Cava),2015,Agustí Torelló Mata,Sparkling,Sparkling Blend,Cava,22.0,Reserva Brut,Reserva,Cava,"Apple and lime aromas are mostly good but rudimentary. The same could be said for a fresh but basic palate. Apple and pear flavors are a bit bready, while this loses some steam on a finish that's mostly bready, yeasty and creamy. ",88
Vins El Cep 2014 Gelida Brut Gran Reserva Sparkling (Cava),2014,Vins El Cep,Sparkling,Sparkling Blend,Cava,18.0,Gelida Brut Gran Reserva,Gran Reserva,Cava,"Dusty, yeasty apple aromas get the job done. A plump, chunky palate is lacking in exactness, while this brut tastes briny, savory and salty, with a hint of apple. A smooth finish maintains those flavors. ",88
Bodega Classica 2017 Hacienda Lopez de Haro Rosado (Rioja),2017,Bodega Classica,Rosée,Rosado,Rioja,11.0,Hacienda Lopez de Haro,No Aplica,Rioja,"Aromas of citrus fruit and citrus peel are welcoming but basic. This rosé feels flush yet fresh, with proper balance. Clean but limited flavors of citrus and stone fruits finish steady and avoid the common plague of bitterness. ",88
12 Linajes 2015 Reserva  (Ribera del Duero),2015,12 Linajes,Red wine,Tempranillo,Ribera del Duero,65.0,Reserva,Reserva,Ribera del Duero,"Ultraripe aromas of raisin, prune and blackberry come across as mushy and overdone. A saturated palate is sappy and heavy, with tartaric acidity offering a boost. Flavors of prune, raisin and cassis are almost too ripe, while aforementioned acidity keeps this from collapsing on the finish. The 2015 vintage was a hot one, and this wears it. ",88
Luna Beberide 2015 Godello (Bierzo),2015,Luna Beberide,White wine,Godello,Bierzo,21.0,,No Aplica,Bierzo,"Mild apple and white-fruit aromas are a bit wheaty like bread. Conversely, the palate is tight, with pulling lemony acidity. Like the nose, this tastes wheaty and like stone fruits, while the finish is distinctly leesy. ",88
Adrás 2014 Mencía (Ribeira Sacra),2014,Adrás,Red wine,Mencía,Ribeira Sacra,19.0,,No Aplica,Ribeira Sacra,"Earthy, savory berry aromas are rubbery, while this feels fleshy and jammy. Young woody flavors outweigh the wine's basic fruit notes, while this tastes toasty on the finish. ",88
Hacienda del Carche 2015 Taus Selección Red (Jumilla),2015,Hacienda del Carche,Red wine,Red Blends,Jumilla,14.0,Taus Selección,No Aplica,Jumilla,"Sunbaked plum and currant aromas are a touch spicy. In the mouth, this blend of 50% Monastrell, 25% Syrah and 25% Cabernet Sauvignon is full, tannic and mostly well balanced. Dense spicy plume and black-fruit plum flavors finish with rubbery grabby tannins. ",88
Hacienda del Carche 2015 Infiltrado Red (Jumilla),2015,Hacienda del Carche,Red wine,Red Blends,Jumilla,15.0,Infiltrado,No Aplica,Jumilla,"Jammy plum and raspberry aromas feed into a clampy but fresh and lightly oaky palate. Flavors of currant, herbal red berry and oak-based clove end with rustic, grabby tannins that are drying. This is a mix of Syrah, Monastrell and Garnacha Tintorera. ",88
Marqués de la Concordia 2012 Federico Paternina Reserva  (Rioja),2012,Marqués de la Concordia,Red wine,Tempranillo Blend,Rioja,20.0,Federico Paternina Reserva,Reserva,Rioja,"Initial perfumed aromas break down and turn a bit soapy and like red-apple skins. A juicy palate has volume but lacks structure. Plum, wild berry and saucy flavors finish full and wide but without much definition or shape. ",88
Mar de Viñas 2017 Albariño (Rías Baixas),2017,Mar de Viñas,White wine,Albariño,Rías Baixas,17.0,,No Aplica,Rías Baixas,"Prickly lemon and pineapple aromas come with modest minerality. This is zesty on the palate, with some body. Stone-fruit flavors of peach and nectarine finish full and healthy. This is a nice but basic Albariño to drink now. ",88
Rafael Cambra 2015 El Bon Homme Red (Valencia),2015,Rafael Cambra,Red wine,Red Blends,Valencia,15.0,El Bon Homme,No Aplica,Valencia,"Gamy, savory plum and berry aromas recall asphalt, tree bark and wildness. This blend offering Cabernet Sauvignon, Cabernet Franc and Monastrell is clampy and tannic. Oaky savory berry flavors finish choppy, with a hint of clove. ",88
Scala Dei 2015 Prior Red (Priorat),2015,Scala Dei,Red wine,Red Blends,Priorat,35.0,Prior,No Aplica,Priorat,"A saturated, grapy nose with jammy black-fruit aromas is massive but not exact. A blocky, clumsy palate is weighty and a touch stewed. Blackened berry flavors show every bit of this Garnacha-based wine's 15% abv. Notes of fig and chocolate are up front on a heavy finish. ",88
Bodega Virgen de la Sierra 2016 OGV Garnacha (Calatayud),2016,Bodega Virgen de la Sierra,Red wine,Garnacha,Calatayud,27.0,OGV,No Aplica,Calatayud,"Earthy black-fruit aromas of chocolaty plum and berry are the starting course. This wine is a bit high in acidity and pulling, so there's tension on the palate. Plum, tomato and oak flavors are saucy, while the wine tastes earthy and feels grabby on the finish. ",88
Gancedo 2013 Mencía (Bierzo),2013,Gancedo,Red wine,Mencía,Bierzo,20.0,,No Aplica,Bierzo,"Foresty berry aromas are warm and chunky. This feels plump and full in body, with grabby tannins and edgy acidity. Salty spicy plum and berry flavors come with loud oak notes, while this finishes full and stout, with toast and mint-like residuals. ",88
Ovidio García 2012 OG Esencia Crianza Tempranillo (Cigales),2012,Ovidio García,Red wine,Tempranillo,Cigales,42.0,OG Esencia Crianza,Crianza,Cigales,"Grapy black-fruit aromas are adorned with more than enough oaky vanilla. This is grabby and acidic. Flavors of cherry, wild berry, tobacco and vanilla finish in similar fashion, with brightness fostered by ultra high acidity. This is good and rugged but short on ease and flow. ",88
Comando-G 2015 Rozas1er Cru Vino de Paraje Garnacha (Vinos de Madrid),2015,Comando-G,Red wine,Garnacha,Vinos de Madrid,40.0,Rozas1er Cru Vino de Paraje,No Aplica,Vinos de Madrid,"A rosy, almost rusty color and dusty aromas of crushed granite, cinnamon and citrus peel open this high-elevation Garnacha from the Sierra de Gredos, which is south of Madrid. A full, pulling palate features rubbery tannins while light, salty red-berry flavors end with a creamy finish. ",88
Muga 2017 White (Rioja),2017,Muga,White wine,White Blend,Rioja,17.0,,No Aplica,Rioja,"A light color and pleasant but simple floral and white fruit aromas open this tangy Rioja that hums along with high-toned citrus flavors and snappy acidity. Grapefruit, orange and grape skin flavors take their time on a racy finish. ",88
Larchago 2017  Rioja,2017,Larchago,Red wine,Tempranillo,Rioja,14.0,,No Aplica,Rioja,Generic berry and plum aromas are clean and standard for everyday Rioja. A medium-bodied palate with modest but notable tannins shows bright plum and red berry flavors in front of a finish that darkens up and is legitimately toasty. ,88
Alta Alella 2016 Mirgin Brut Nature Reserva Sparkling (Cava),2016,Alta Alella,Sparkling,Sparkling Blend,Cava,23.0,Mirgin Brut Nature Reserva,Reserva,Cava,"Grassy white-fruit aromas include a strong note of petrol. A plump, round but foamy palate holds flavors of briny stone fruits that are one part sweet and one part sour. Briny flavors persist on a steady finish. ",88
Hacienda Urbión 2014 Crianza  (Rioja),2014,Hacienda Urbión,Red wine,Tempranillo Blend,Rioja,19.0,Crianza,Crianza,Rioja,"Earthy aromas of raisin and baked berry fruits lead to a medium-bodied palate that's more spongy and absorbing than hard. A mix of leafy berry, brown sugar, salt and herbal flavors finishes short and basic, with a touch of root beer and licorice to ponder. ",88
Granbazán 2015 Limousin Albariño (Rías Baixas),2015,Granbazán,White wine,Albariño,Rías Baixas,32.0,Limousin,No Aplica,Rías Baixas,"There's no mistaking the main ingredient in this barrel-driven Albariño, and that's Limousin oak, which gives off extreme aromas of wood grain and turpentine. A plump palate is chunky due to barrel aging, while this tastes mostly of wood resin and related bitterness. While well made, this is what it is: a heavily oaked Albariño cut from its own mold. ",88
Obalo 2013 Matulán Crianza  (Rioja),2013,Obalo,Red wine,Tempranillo,Rioja,15.0,Matulán Crianza,Crianza,Rioja,"Bold earthy black-fruit aromas properly announce a drawing, tannic middleweight with powerful plum, raspberry and tomato flavors. This cool-vintage Rioja is tough and sinewy on a highly tannic finish. Drink through 2022. ",88
Balbas 2015 Ardal Tradición  (Ribera del Duero),2015,Balbas,Red wine,Tempranillo,Ribera del Duero,20.0,Ardal Tradición,No Aplica,Ribera del Duero,"Oak-derived aromas of maple, charred wood and clove are pronounced on the nose. The full-bodied palate offers grainy tannins and strong charred oak notes that leave a charcoal-infused berry impression. Its flat, slightly stewed finish is bolstered by a shot of lemony acidity. ",88
Bodegas Peñafiel 2011 Sierra de Miros Reserva  (Ribera del Duero),2011,Bodegas Peñafiel,Red wine,Tempranillo,Ribera del Duero,35.0,Sierra de Miros Reserva,Reserva,Ribera del Duero,"Unusual exotic-leaning aromas of lavender, violet, cardamom and anise are intriguing. In the mouth, this has textural issues, namely it's abrupt and tannic. Flavors of mild chocolate, carob and blueberry are uncommon for Ribera del Duero. ",88
Ossian 2015 Quintaluna Verdejo (Vino de la Tierra de Castilla y León),2015,Ossian,White wine,Verdejo,Castilla,19.0,Quintaluna,No Aplica,Vino de la Tierra de Castilla y León,"Basic aromas of apple and melon feed into a solid round palate with good acidity. Salty flavors of popcorn and tropical fruits finish flush, balanced and with notes of melon and papaya. ",88
Bodegas Aragonesas 2016 Crucillón Red (Campo de Borja),2016,Bodegas Aragonesas,Red wine,Red Blends,Campo de Borja,9.0,Crucillón,No Aplica,Campo de Borja,"This wine's dusty raspberry and plum aromas are friendly and powdery. A 50-50 blend of Garnacha and Tempranillo, it's lively and tight, with generic black fruit flavors that finish minty and a touch raw. ",88
Valdemonxes 2017 Clásico Albariño (Rías Baixas),2017,Valdemonxes,White wine,Albariño,Rías Baixas,15.0,Clásico,No Aplica,Rías Baixas,"Apple and talcum powder aromas are normal for Albariño. A plump palate is balanced by citric acidity, while this tastes of apple and briny citrus prior to a finish that's showing a slight hint of pyrazine-based green. ",88
Montecillo 2017 Singladuras Albariño (Rías Baixas),2017,Montecillo,White wine,Albariño,Rías Baixas,15.0,Singladuras,No Aplica,Rías Baixas,"Plump, leesy aromas of melon and peach are varietally on par. A round palate shows balance and proper acidity, while salty, briny, dusty white fruit flavors are leesy and suggest melon and nectarine on the finish. ",88
Viña Eguía 2014 Reserva  (Rioja),2014,Viña Eguía,Red wine,Tempranillo,Rioja,19.0,Reserva,Reserva,Rioja,"Spicy, savory oak aromas sit in front of dried cherry and plum notes, while this feels fresh and snappy, with mild acidic burn. Briary plum and spicy berry flavors qualify as oaky, while this tastes of vanilla, mint and mixed spices on a lightweight finish. ",88
Sierra Cantabria 2018 Blanco White (Rioja),2018,Sierra Cantabria,White wine,White Blend,Rioja,20.0,Blanco,No Aplica,Rioja,"Apple and pear aromas are clean and fresh, while this blend of Viura, Sauvignon Blanc and Malvasia feels solid and healthy. Mild citrus and basic white-fruit flavors finish short but true. ",88
Aranleón 2014 Blés Crianza Organic Wine Red (Valencia),2014,Aranleón,Red wine,Red Blends,Valencia,19.0,Blés Crianza Organic Wine,Crianza,Valencia,"Floral soupy plum aromas come with notes of road tar, violet, lavender and grass. This has a jammy, saturated, chunky mouthfeel to go with plum and spiced-berry flavors. Exotic notes of cardamom and clove are key to a spicy finish. This is a blend of Monastrell, Tempranillo and Cabernet Sauvignon. ",88
Ramirez de la Piscina 2013 Reserva  (Rioja),2013,Ramirez de la Piscina,Red wine,Tempranillo,Rioja,19.0,Reserva,Reserva,Rioja,"This wine's spiced plum and berry aromas show hints of animal fur and leather. The palate is rough around the edges, offering plum and berry flavors that have veered toward prune. Savory spice and chocolaty oak notes mark the finish. ",88
Pazo De Villarei 2017 Albariño (Rías Baixas),2017,Pazo De Villarei,White wine,Albariño,Rías Baixas,28.0,,No Aplica,Rías Baixas,"Citrus aromas dominate this seasonally friendly white, with a backing of green herb and grass notes. It's lively, with good flow as its mix of pineapple and pine flavors dash lightly into the crisp, juicy finish. ",88
Val Sotillo 2009 Gran Reserva  (Ribera del Duero),2009,Val Sotillo,Red wine,Tempranillo,Ribera del Duero,125.0,Gran Reserva,Gran Reserva,Ribera del Duero,"Like many 2009 RDD wines, this is at max ripeness and maybe over the edge. Ripe earthy plum and prune aromas feed into a heavy palate that's not exactly skipping. Prune, blackberry, blueberry and juniper flavors finish dense and settled. This is ready to drink: it is what it is. ",88
Marqués de Gelida 2014 Marques de Gelida MIM Natura Brut Reserva Sparkling (Cava),2014,Marqués de Gelida,Sparkling,Sparkling Blend,Cava,21.0,Marques de Gelida MIM Natura Brut Reserva,Reserva,Cava,A blend of bready aromas along with crisp apple and pear scents leads to a citrusy palate of lime and green melon. The lasting finish is a good way for things to conclude. ,88
Prada A Tope 2015 Palacio de Canedo Godello (Bierzo),2015,Prada A Tope,White wine,Godello,Bierzo,13.0,Palacio de Canedo,No Aplica,Bierzo,"Dusty apple aromas show a good level of pop and freshness. This Godello feels round yet fresh. Yeasty, bready white-fruit flavors are more basic than specific. ",88
Palacios Remondo 2012 Propiedad  (Rioja),2012,Palacios Remondo,Red wine,Garnacha,Rioja,50.0,Propiedad,No Aplica,Rioja,"This Rioja Baja Garnacha is earthy on the nose, with aromas of stewed berry fruits, tomato and raisin. The palate is livelier than the aromas, but this still feels a bit heavy and stewed. Flavors of vanilla, root beer and saucy berry fruits lack pop on a finish that seems to be tiring. ",88
Palacio de Primavera 2012 Reserva  (Rioja),2012,Palacio de Primavera,Red wine,Tempranillo,Rioja,35.0,Reserva,Reserva,Rioja,"Raisin aromas could use a bit more lift and freshness. This Rioja feels grabby due to rubbery tannins. Soupy, slightly herbal berry flavors finish on chocolaty notes but also a choppy sense of roughness. ",88
Alberto Orte 2012 Elo Monastrell (Yecla),2012,Alberto Orte,Red wine,Monastrell,Yecla,36.0,Elo,No Aplica,Yecla,"Leathery, scratchy black-fruit aromas are striated and minty, with a note of oak. This Monastrell feels grabby, hefty and on the bold and bulky side. Jammy blackberry flavors come with minty green notes, while this tastes mildly grassy and feels a bit hot on the finish. ",88
Gotas de Mar 2016 Albariño (Rías Baixas),2016,Gotas de Mar,White wine,Albariño,Rías Baixas,23.0,,No Aplica,Rías Baixas,"Briny white-fruit aromas are lean, with a pyrazinic note of jalapeño. Stone fruit flavors show on the palate, but with a mild bitterness. Nectarine is the lead on a short-run finish. Drink now. ",88
Hiruzta 2018 Hondarrabi Zuri-Beltza Rosé (Getariako Txakolina),2018,Hiruzta,Rosée,Rosé,Getariako Txakolina,19.0,Hondarrabi Zuri-Beltza,No Aplica,Getariako Txakolina,"Crisp, lightly spiced aromas get this Txakoli rosado off to a good start. A consistency of spritzed orange juice backed by citrusy flavors made briny by salty notes make this authentic and good for drinking right away. ",88
Marqués de Vargas 2014 Crianza  (Rioja),2014,Marqués de Vargas,Red wine,Tempranillo,Rioja,17.0,Crianza,Crianza,Rioja,"Roasted aromas of tomato and red plum are spicy. This has a chunky, blocky mouthfeel that's searching for its groove. Herbal plum and tomato flavors finish a bit raw in feel and salty in flavor. ",88
Marqués de Vargas 2014 Conde de San Cristóbal  (Ribera del Duero),2014,Marqués de Vargas,Red wine,Tempranillo Blend,Ribera del Duero,23.0,Conde de San Cristóbal,No Aplica,Ribera del Duero,"Rooty aromas of licorice and sarsparilla are out front, followed by a big wave of barrel char. This wine feels good but a little abrupt and choppy. Savory flavors of barbecue and meaty berry fruits finish blackened and peppery, with a lasting note of charred wood. ",88
Marqués de Cáceres 2018 Excellens Rosé (Rioja),2018,Marqués de Cáceres,Rosée,Rosé,Rioja,15.0,Excellens,No Aplica,Rioja,"A light but distinct clear pink color along with stony but mild aromas open this fresh rosé. A crisp, tight palate is lean and focused, while this tastes citrusy, with a hint of red plum. Clarity, cleanliness and freshness are top virtues. ",88
Abad Dom Bueno 2016 Laderas Del Norte Mencía (Bierzo),2016,Abad Dom Bueno,Red wine,Mencía,Bierzo,24.0,Laderas Del Norte,No Aplica,Bierzo,"Reduced berry and olive aromas require a lot of air, swirling and patience to unwind. An amorphous palate is grabby, fleshy and fat, while this tastes of jammy dark plum and various spices. A round, obtuse finish deals latent oak and coffee notes. ",88
